timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1529584735445,1279,200 /api/user/asset/,200,OK,Thread Group 1-4,text,true,,5527,475,25,25,1279,0,264
1529584735476,1303,200 /api/user/asset/,200,OK,Thread Group 1-9,text,true,,5529,475,25,25,1303,0,265
1529584735519,1434,200 /api/user/asset/,200,OK,Thread Group 1-13,text,true,,2913,475,25,25,1434,0,315
1529584735630,1348,200 /api/user/asset/,200,OK,Thread Group 1-12,text,true,,2912,475,25,25,1348,0,264
1529584735523,1465,200 /api/user/asset/,200,OK,Thread Group 1-7,text,true,,5523,475,25,25,1465,0,276
1529584735669,1481,200 /api/user/asset/,200,OK,Thread Group 1-18,text,true,,2908,475,25,25,1481,0,267
1529584735641,1553,200 /api/user/asset/,200,OK,Thread Group 1-15,text,true,,2911,475,25,25,1553,0,283
1529584735595,1703,200 /api/user/asset/,200,OK,Thread Group 1-10,text,true,,5525,475,25,25,1703,0,306
1529584735763,1629,200 /api/user/asset/,200,OK,Thread Group 1-16,text,true,,2925,475,25,25,1629,0,330
1529584735626,1812,200 /api/user/asset/,200,OK,Thread Group 1-14,text,true,,5533,475,25,25,1812,0,299
1529584735804,1694,200 /api/user/asset/,200,OK,Thread Group 1-20,text,true,,2912,475,25,25,1694,0,296
1529584735862,1676,200 /api/user/asset/,200,OK,Thread Group 1-17,text,true,,2912,475,25,25,1676,0,265
1529584735840,1782,200 /api/user/asset/,200,OK,Thread Group 1-19,text,true,,2915,475,25,25,1782,0,321
1529584735903,1795,200 /api/user/asset/,200,OK,Thread Group 1-22,text,true,,2913,475,25,25,1795,0,300
1529584735977,1727,200 /api/user/asset/,200,OK,Thread Group 1-23,text,true,,2924,475,25,25,1727,0,271
1529584736032,1751,200 /api/user/asset/,200,OK,Thread Group 1-24,text,true,,2911,475,25,25,1751,0,294
1529584736551,1264,199 /api/user/status/,200,OK,Thread Group 1-1,text,true,,1077,476,25,25,1264,0,0
1529584736583,1279,199 /api/user/status/,200,OK,Thread Group 1-6,text,true,,1077,476,25,25,1279,0,0
1529584736006,1889,200 /api/user/asset/,200,OK,Thread Group 1-21,text,true,,2912,475,25,25,1889,0,333
1529584736936,965,199 /api/user/status/,200,OK,Thread Group 1-2,text,true,,1077,476,25,25,965,0,0
1529584736060,1850,200 /api/user/asset/,200,OK,Thread Group 1-25,text,true,,2911,475,25,25,1850,0,310
1529584736629,1301,199 /api/user/status/,200,OK,Thread Group 1-3,text,true,,1077,476,25,25,1301,0,0
1529584737225,740,199 /api/user/status/,200,OK,Thread Group 1-4,text,true,,1077,476,25,25,740,0,0
1529584737181,790,199 /api/user/status/,200,OK,Thread Group 1-11,text,true,,1078,476,25,25,789,0,0
1529584736978,1000,199 /api/user/status/,200,OK,Thread Group 1-5,text,true,,1077,476,25,25,999,0,0
1529584736944,1035,199 /api/user/status/,200,OK,Thread Group 1-8,text,true,,1078,476,25,25,1035,0,0
1529584737280,713,199 /api/user/status/,200,OK,Thread Group 1-9,text,true,,1078,476,25,25,713,0,0
1529584737479,526,199 /api/user/status/,200,OK,Thread Group 1-12,text,true,,1078,476,25,25,526,0,0
1529584737489,555,199 /api/user/status/,200,OK,Thread Group 1-7,text,true,,1077,476,25,25,555,0,0
1529584737454,594,199 /api/user/status/,200,OK,Thread Group 1-13,text,true,,1078,476,25,25,594,0,0
1529584737651,407,199 /api/user/status/,200,OK,Thread Group 1-18,text,true,,1078,476,25,25,407,0,0
1529584737799,592,199 /api/user/status/,200,OK,Thread Group 1-10,text,true,,1078,476,25,25,591,0,265
1529584737695,712,199 /api/user/status/,200,OK,Thread Group 1-15,text,true,,1078,476,25,25,712,0,320
1529584737893,580,199 /api/user/status/,200,OK,Thread Group 1-16,text,true,,1078,476,25,25,580,0,263
1529584737939,578,199 /api/user/status/,200,OK,Thread Group 1-14,text,true,,1078,476,25,25,578,0,268
1529584737999,592,199 /api/user/status/,200,OK,Thread Group 1-20,text,true,,1078,476,25,25,592,0,273
1529584738039,652,199 /api/user/status/,200,OK,Thread Group 1-17,text,true,,1078,476,25,25,652,0,294
1529584738199,569,199 /api/user/status/,200,OK,Thread Group 1-22,text,true,,1078,476,25,25,569,0,264
1529584738124,655,199 /api/user/status/,200,OK,Thread Group 1-19,text,true,,1078,476,25,25,655,0,307
1529584738206,665,199 /api/user/status/,200,OK,Thread Group 1-23,text,true,,1078,476,25,25,665,0,307
1529584738317,568,198 /api/user/total-matches/,200,OK,Thread Group 1-1,text,true,,269,483,25,25,568,0,267
1529584738285,660,199 /api/user/status/,200,OK,Thread Group 1-24,text,true,,1078,476,25,25,660,0,306
1529584738397,575,199 /api/user/status/,200,OK,Thread Group 1-21,text,true,,1078,476,25,25,575,0,266
1529584738412,569,199 /api/user/status/,200,OK,Thread Group 1-25,text,true,,1078,476,25,25,569,0,260
1529584738364,638,198 /api/user/total-matches/,200,OK,Thread Group 1-6,text,true,,269,483,25,25,638,0,304
1529584738432,601,198 /api/user/total-matches/,200,OK,Thread Group 1-3,text,true,,269,483,25,25,601,0,290
1529584738467,577,198 /api/user/total-matches/,200,OK,Thread Group 1-4,text,true,,269,483,25,25,577,0,269
1529584738479,574,198 /api/user/total-matches/,200,OK,Thread Group 1-5,text,true,,269,483,25,25,574,0,259
1529584738403,662,198 /api/user/total-matches/,200,OK,Thread Group 1-2,text,true,,269,483,25,25,662,0,313
1529584738546,557,198 /api/user/total-matches/,200,OK,Thread Group 1-7,text,true,,269,483,25,25,557,0,264
1529584738495,640,198 /api/user/total-matches/,200,OK,Thread Group 1-9,text,true,,269,483,25,25,640,0,300
1529584738560,589,198 /api/user/total-matches/,200,OK,Thread Group 1-18,text,true,,269,483,25,25,589,0,266
1529584738472,689,198 /api/user/total-matches/,200,OK,Thread Group 1-11,text,true,,269,483,25,25,689,0,326
1529584738480,702,198 /api/user/total-matches/,200,OK,Thread Group 1-8,text,true,,269,483,25,25,702,0,326
1529584738892,296,198 /api/user/total-matches/,200,OK,Thread Group 1-10,text,true,,269,483,25,25,296,0,0
1529584738507,681,198 /api/user/total-matches/,200,OK,Thread Group 1-12,text,true,,269,483,25,25,681,0,314
1529584738549,690,198 /api/user/total-matches/,200,OK,Thread Group 1-13,text,true,,269,483,25,25,690,0,329
1529584738909,362,198 /api/user/total-matches/,200,OK,Thread Group 1-15,text,true,,269,483,25,25,362,0,0
1529584738975,314,198 /api/user/total-matches/,200,OK,Thread Group 1-16,text,true,,269,483,25,25,314,0,0
1529584739019,295,198 /api/user/total-matches/,200,OK,Thread Group 1-14,text,true,,269,483,25,25,295,0,0
1529584739093,313,198 /api/user/total-matches/,200,OK,Thread Group 1-20,text,true,,269,483,25,25,313,0,0
1529584739193,308,198 /api/user/total-matches/,200,OK,Thread Group 1-17,text,true,,269,483,25,25,308,0,0
1529584739269,297,198 /api/user/total-matches/,200,OK,Thread Group 1-22,text,true,,269,483,25,25,297,0,0
1529584739280,328,198 /api/user/total-matches/,200,OK,Thread Group 1-19,text,true,,269,483,25,25,328,0,0
1529584739386,305,208 /api/user/asset-data/,200,OK,Thread Group 1-1,text,true,,2490,468,25,25,305,0,0
1529584739371,346,198 /api/user/total-matches/,200,OK,Thread Group 1-23,text,true,,269,483,25,25,346,0,0
1529584739472,299,198 /api/user/total-matches/,200,OK,Thread Group 1-21,text,true,,269,483,25,25,299,0,0
1529584739482,292,198 /api/user/total-matches/,200,OK,Thread Group 1-25,text,true,,269,483,25,25,292,0,0
1529584739445,331,198 /api/user/total-matches/,200,OK,Thread Group 1-24,text,true,,269,483,25,25,331,0,0
1529584739503,336,208 /api/user/asset-data/,200,OK,Thread Group 1-6,text,true,,2490,468,25,25,336,0,0
1529584739545,304,208 /api/user/asset-data/,200,OK,Thread Group 1-4,text,true,,2490,468,25,25,304,0,0
1529584739554,303,208 /api/user/asset-data/,200,OK,Thread Group 1-5,text,true,,2490,468,25,25,303,0,0
1529584739534,329,208 /api/user/asset-data/,200,OK,Thread Group 1-3,text,true,,2490,468,25,25,329,0,0
1529584739604,301,208 /api/user/asset-data/,200,OK,Thread Group 1-7,text,true,,2490,468,25,25,301,0,0
1529584739565,369,208 /api/user/asset-data/,200,OK,Thread Group 1-2,text,true,,2490,468,25,25,369,0,0
1529584739650,307,208 /api/user/asset-data/,200,OK,Thread Group 1-18,text,true,,2490,468,25,25,307,0,0
1529584739689,299,208 /api/user/asset-data/,200,OK,Thread Group 1-10,text,true,,2490,468,25,25,299,0,0
1529584739690,355,208 /api/user/asset-data/,200,OK,Thread Group 1-12,text,true,,2490,468,25,25,355,0,0
1529584739661,385,208 /api/user/asset-data/,200,OK,Thread Group 1-11,text,true,,2490,468,25,25,385,0,0
1529584739682,389,208 /api/user/asset-data/,200,OK,Thread Group 1-8,text,true,,2490,468,25,25,389,0,0
1529584739790,294,208 /api/user/asset-data/,200,OK,Thread Group 1-16,text,true,,2490,468,25,25,294,0,0
1529584739814,317,208 /api/user/asset-data/,200,OK,Thread Group 1-14,text,true,,2490,468,25,25,317,0,0
1529584739906,298,208 /api/user/asset-data/,200,OK,Thread Group 1-20,text,true,,2490,468,25,25,298,0,0
1529584740002,333,208 /api/user/asset-data/,200,OK,Thread Group 1-17,text,true,,2490,468,25,25,333,0,0
1529584740067,341,208 /api/user/asset-data/,200,OK,Thread Group 1-22,text,true,,2490,468,25,25,341,0,0
1529584739771,669,208 /api/user/asset-data/,200,OK,Thread Group 1-15,text,true,,2490,468,25,25,669,0,315
1529584740109,343,208 /api/user/asset-data/,200,OK,Thread Group 1-19,text,true,,2490,468,25,25,343,0,0
1529584740272,299,208 /api/user/asset-data/,200,OK,Thread Group 1-21,text,true,,2490,468,25,25,299,0,0
